entity_text,zenodo_gold_name,entity_type,gold_name,sentence
jamendolyrics,jamendo lyrics,DATASET,jamendo lyrics,Data can be retrieved at https://github.com/f90/jamendolyrics .  ``` datadir_jamendo='path-to-jamendo' ```   ### B) Running the training pipeline  There are two recipes included in this repository.
jamendo,jamendo lyrics,DATASET,jamendo lyrics,Data can be retrieved at https://github.com/f90/jamendolyrics .  ``` datadir_jamendo='path-to-jamendo' ```   ### B) Running the training pipeline  There are two recipes included in this repository.
jamendo,jamendo lyrics,DATASET,jamendo lyrics,Data can be retrieved at https://github.com/f90/jamendolyrics .  ``` datadir_jamendo='path-to-jamendo' ```   ### B) Running the training pipeline  There are two recipes included in this repository.
DAMP,NIL,DATASET,NIL,It is written to work on DAMP.
DAMP,NIL,DATASET,NIL,Define the absolute path to the DAMP - Sing!
DAMP,NIL,DATASET,NIL,"300x30x2  repository.    ```  audiopath = path-to-DAMP-dataset ``` Then, simply pass the ```$audiopath``` variable to the main recipe: ``` ."
damp,NIL,DATASET,NIL,"/run_mstrenet.sh --datadir_damp ${datadir_damp} --datadir_dali ${datadir_dali} \     --datadir_dali_talt ${datadir_dali_talt} --datadir_jamendo ${datadir_jamendo} \ ``` If you'd like to see the help menu, simply type: ``` ."
damp,NIL,DATASET,NIL,"/run_mstrenet.sh --datadir_damp ${datadir_damp} --datadir_dali ${datadir_dali} \     --datadir_dali_talt ${datadir_dali_talt} --datadir_jamendo ${datadir_jamendo} \ ``` If you'd like to see the help menu, simply type: ``` ."
dali,NIL,DATASET,NIL,"/run_mstrenet.sh --datadir_damp ${datadir_damp} --datadir_dali ${datadir_dali} \     --datadir_dali_talt ${datadir_dali_talt} --datadir_jamendo ${datadir_jamendo} \ ``` If you'd like to see the help menu, simply type: ``` ."
dali_talt,NIL,DATASET,NIL,"/run_mstrenet.sh --datadir_damp ${datadir_damp} --datadir_dali ${datadir_dali} \     --datadir_dali_talt ${datadir_dali_talt} --datadir_jamendo ${datadir_jamendo} \ ``` If you'd like to see the help menu, simply type: ``` ."
dali_talt,NIL,DATASET,NIL,"/run_mstrenet.sh --datadir_damp ${datadir_damp} --datadir_dali ${datadir_dali} \     --datadir_dali_talt ${datadir_dali_talt} --datadir_jamendo ${datadir_jamendo} \ ``` If you'd like to see the help menu, simply type: ``` ."
jamendo,jamendo lyrics,DATASET,jamendo lyrics,"/run_mstrenet.sh --datadir_damp ${datadir_damp} --datadir_dali ${datadir_dali} \     --datadir_dali_talt ${datadir_dali_talt} --datadir_jamendo ${datadir_jamendo} \ ``` If you'd like to see the help menu, simply type: ``` ."
jamendo,jamendo lyrics,DATASET,jamendo lyrics,"/run_mstrenet.sh --datadir_damp ${datadir_damp} --datadir_dali ${datadir_dali} \     --datadir_dali_talt ${datadir_dali_talt} --datadir_jamendo ${datadir_jamendo} \ ``` If you'd like to see the help menu, simply type: ``` ."
damp,NIL,DATASET,NIL,"Should be -10 to initialize the training""  --datadir_damp                                   # path to DAMP dataset  --datadir_dali                                   # path to DALI dataset  --datadir_dali_talt                              # path to DALI-TALT dataset  --datadir_jamendo                                # path to jamendo dataset  --pretrained_model <model>                       # directory to a pretrained model (if specificed, i.e. models/ijcnn)"
DAMP,NIL,DATASET,NIL,"Should be -10 to initialize the training""  --datadir_damp                                   # path to DAMP dataset  --datadir_dali                                   # path to DALI dataset  --datadir_dali_talt                              # path to DALI-TALT dataset  --datadir_jamendo                                # path to jamendo dataset  --pretrained_model <model>                       # directory to a pretrained model (if specificed, i.e. models/ijcnn)"
dali,NIL,DATASET,NIL,"Should be -10 to initialize the training""  --datadir_damp                                   # path to DAMP dataset  --datadir_dali                                   # path to DALI dataset  --datadir_dali_talt                              # path to DALI-TALT dataset  --datadir_jamendo                                # path to jamendo dataset  --pretrained_model <model>                       # directory to a pretrained model (if specificed, i.e. models/ijcnn)"
DALI,NIL,DATASET,NIL,"Should be -10 to initialize the training""  --datadir_damp                                   # path to DAMP dataset  --datadir_dali                                   # path to DALI dataset  --datadir_dali_talt                              # path to DALI-TALT dataset  --datadir_jamendo                                # path to jamendo dataset  --pretrained_model <model>                       # directory to a pretrained model (if specificed, i.e. models/ijcnn)"
dali_talt,NIL,DATASET,NIL,"Should be -10 to initialize the training""  --datadir_damp                                   # path to DAMP dataset  --datadir_dali                                   # path to DALI dataset  --datadir_dali_talt                              # path to DALI-TALT dataset  --datadir_jamendo                                # path to jamendo dataset  --pretrained_model <model>                       # directory to a pretrained model (if specificed, i.e. models/ijcnn)"
DALI-TALT,NIL,DATASET,NIL,"Should be -10 to initialize the training""  --datadir_damp                                   # path to DAMP dataset  --datadir_dali                                   # path to DALI dataset  --datadir_dali_talt                              # path to DALI-TALT dataset  --datadir_jamendo                                # path to jamendo dataset  --pretrained_model <model>                       # directory to a pretrained model (if specificed, i.e. models/ijcnn)"
jamendo,jamendo lyrics,DATASET,jamendo lyrics,"Should be -10 to initialize the training""  --datadir_damp                                   # path to DAMP dataset  --datadir_dali                                   # path to DALI dataset  --datadir_dali_talt                              # path to DALI-TALT dataset  --datadir_jamendo                                # path to jamendo dataset  --pretrained_model <model>                       # directory to a pretrained model (if specificed, i.e. models/ijcnn)"
jamendo,jamendo lyrics,DATASET,jamendo lyrics,"Should be -10 to initialize the training""  --datadir_damp                                   # path to DAMP dataset  --datadir_dali                                   # path to DALI dataset  --datadir_dali_talt                              # path to DALI-TALT dataset  --datadir_jamendo                                # path to jamendo dataset  --pretrained_model <model>                       # directory to a pretrained model (if specificed, i.e. models/ijcnn)"
CIFAR-10,cifar-10,DATASET,cifar-10,/data/.  ## Run HOC + Vote Based and Rank Based method  On CIFAR-10 .  ``` sh .
CIFAR-100,cifar-100,DATASET,cifar-100,/test_c10_instance.sh   ```  On CIFAR-100  ``` sh .
Ontonotes 5.0,ontonotes 5.0,DATASET,ontonotes 5.0,"If you just want the data, it's a few steps:  Let `ldc_ontonotes_path` be the path to your LDC download of `Ontonotes 5.0`, that is, `LDC2013T19`."
ontonotes-release-5.0,ontonotes 5.0,DATASET,ontonotes 5.0,Mine looks like `/scr/corpora/ldc/2013/LDC2013T19/ontonotes-release-5.0/data/files/data/`.
conll-2012-train.v4,conll-2012,DATASET,conll-2012,"Next, due to some regrettable firewalling, our script to download the train/dev/test split information fails, so you have to navigate via a browser to:        https://cemantix.org/conll/2012/download/  and manually download `conll-2012-train.v4.tar.gz`, `conll-2012-development.v4.tar.gz`, and then navigate to the `test` folder and download `conll-2012-test-key.tar.gz`."
conll-2012-development.v4,conll-2012,DATASET,conll-2012,"Next, due to some regrettable firewalling, our script to download the train/dev/test split information fails, so you have to navigate via a browser to:        https://cemantix.org/conll/2012/download/  and manually download `conll-2012-train.v4.tar.gz`, `conll-2012-development.v4.tar.gz`, and then navigate to the `test` folder and download `conll-2012-test-key.tar.gz`."
conll-2012-test,conll-2012,DATASET,conll-2012,"Next, due to some regrettable firewalling, our script to download the train/dev/test split information fails, so you have to navigate via a browser to:        https://cemantix.org/conll/2012/download/  and manually download `conll-2012-train.v4.tar.gz`, `conll-2012-development.v4.tar.gz`, and then navigate to the `test` folder and download `conll-2012-test-key.tar.gz`."
ontonotes,ontonotes 5.0,DATASET,ontonotes 5.0,Place these files in the `scripts/ontonotes_scripts/` directory of this repository.
ontonotes,ontonotes 5.0,DATASET,ontonotes 5.0,"Now, run  ``` cd scripts/ontonotes_scripts ldc_ontonotes_path=/scr/corpora/ldc/2013/LDC2013T19/ontonotes-release-5.0/data/files/data/ bash prep_ontonotes_v4.sh $ldc_onotonotes_path ```  Nice."
ontonotes-release-5.0,ontonotes 5.0,DATASET,ontonotes 5.0,"Now, run  ``` cd scripts/ontonotes_scripts ldc_ontonotes_path=/scr/corpora/ldc/2013/LDC2013T19/ontonotes-release-5.0/data/files/data/ bash prep_ontonotes_v4.sh $ldc_onotonotes_path ```  Nice."
ontonotes,ontonotes 5.0,DATASET,ontonotes 5.0,"Now, run  ``` cd scripts/ontonotes_scripts ldc_ontonotes_path=/scr/corpora/ldc/2013/LDC2013T19/ontonotes-release-5.0/data/files/data/ bash prep_ontonotes_v4.sh $ldc_onotonotes_path ```  Nice."
onotonotes,ontonotes 5.0,DATASET,ontonotes 5.0,"Now, run  ``` cd scripts/ontonotes_scripts ldc_ontonotes_path=/scr/corpora/ldc/2013/LDC2013T19/ontonotes-release-5.0/data/files/data/ bash prep_ontonotes_v4.sh $ldc_onotonotes_path ```  Nice."
QuAC,quac,DATASET,quac,"In our evaluation, human annotators chat with conversational QA models about passages from the [QuAC](https://quac.ai) development set, and after that the annotators judge the correctness of model answers."
quac,quac,DATASET,quac,"In our evaluation, human annotators chat with conversational QA models about passages from the [QuAC](https://quac.ai) development set, and after that the annotators judge the correctness of model answers."
QuAC,quac,DATASET,quac,"""context"": ""Azaria wrote and directed the 2004 short film Nobody's Perfect, ..."",         # The ID from the original QuAC dataset."
QuAC,quac,DATASET,quac,"[Auto-rewrite](figs/autorewrite.png)  ## Setup  ### Install dependencies  Please install all dependency packages using the following command: ```bash pip install -r requirements.txt ```  ### Download the datasets  Our experiments use [QuAC dataset](https://quac.ai) for passages and conversations, and the test set of [CANARD dataset](https://sites.google.com/view/qanta/projects/canard) for context-independent questions in `Auto-Replace`.  ## Evaluating existing models  We provide our implementations for the four models that we used in our paper: BERT, [GraphFlow](https://www.ijcai.org/Proceedings/2020/171), [HAM](https://dl.acm.org/doi/abs/10.1145/3357384.3357905), [ExCorD](https://aclanthology.org/2021.acl-long.478/)."
quac,quac,DATASET,quac,"[Auto-rewrite](figs/autorewrite.png)  ## Setup  ### Install dependencies  Please install all dependency packages using the following command: ```bash pip install -r requirements.txt ```  ### Download the datasets  Our experiments use [QuAC dataset](https://quac.ai) for passages and conversations, and the test set of [CANARD dataset](https://sites.google.com/view/qanta/projects/canard) for context-independent questions in `Auto-Replace`.  ## Evaluating existing models  We provide our implementations for the four models that we used in our paper: BERT, [GraphFlow](https://www.ijcai.org/Proceedings/2020/171), [HAM](https://dl.acm.org/doi/abs/10.1145/3357384.3357905), [ExCorD](https://aclanthology.org/2021.acl-long.478/)."
CANARD,canard,DATASET,canard,"[Auto-rewrite](figs/autorewrite.png)  ## Setup  ### Install dependencies  Please install all dependency packages using the following command: ```bash pip install -r requirements.txt ```  ### Download the datasets  Our experiments use [QuAC dataset](https://quac.ai) for passages and conversations, and the test set of [CANARD dataset](https://sites.google.com/view/qanta/projects/canard) for context-independent questions in `Auto-Replace`.  ## Evaluating existing models  We provide our implementations for the four models that we used in our paper: BERT, [GraphFlow](https://www.ijcai.org/Proceedings/2020/171), [HAM](https://dl.acm.org/doi/abs/10.1145/3357384.3357905), [ExCorD](https://aclanthology.org/2021.acl-long.478/)."
coco,ms coco,DATASET,ms coco,"- 16 Jul, 2022: Add PCME CutMix-pretrained weight (used for [ECCV Caption](https://github.com/naver-ai/eccv-caption) paper) - 23 Jun, 2021: Initial upload.  ## Installation  Install dependencies using the following command.  ``` pip install cython && pip install -r requirements.txt python -c 'import nltk; nltk.download(""punkt"", download_dir=""/opt/conda/nltk_data"")' git clone https://github.com/NVIDIA/apex && cd apex && pip install -v --no-cache-dir --global-option=""--cpp_ext"" --global-option=""--cuda_ext"" ./ ```  ### Dockerfile  You can use my docker image as well ``` docker pull sanghyukchun/pcme:torch1.2-apex-dali ```  Please Add `--model__cache_dir /vector_cache` when you run the code  ## Configuration  All experiments are based on configuration files (see [config/coco](config/coco) and [config/cub](config/cub))."
coco,ms coco,DATASET,ms coco,"- 16 Jul, 2022: Add PCME CutMix-pretrained weight (used for [ECCV Caption](https://github.com/naver-ai/eccv-caption) paper) - 23 Jun, 2021: Initial upload.  ## Installation  Install dependencies using the following command.  ``` pip install cython && pip install -r requirements.txt python -c 'import nltk; nltk.download(""punkt"", download_dir=""/opt/conda/nltk_data"")' git clone https://github.com/NVIDIA/apex && cd apex && pip install -v --no-cache-dir --global-option=""--cpp_ext"" --global-option=""--cuda_ext"" ./ ```  ### Dockerfile  You can use my docker image as well ``` docker pull sanghyukchun/pcme:torch1.2-apex-dali ```  Please Add `--model__cache_dir /vector_cache` when you run the code  ## Configuration  All experiments are based on configuration files (see [config/coco](config/coco) and [config/cub](config/cub))."
COCO Caption,coco captions,DATASET,coco captions,"If you want to change only a few options, instead of re-writing a new configuration file, you can override the configuration as the follows:  ``` python <train | eval>.py --dataloader__batch_size 32 --dataloader__eval_batch_size 8 --model__eval_method matching_prob ```  See [config/parser.py](config/parser.py) for details  ## Dataset preparation  ### COCO Caption  We followed the same split provided by [VSE++](http://www.cs.toronto.edu/~faghri/vsepp/data.tar)."
CUB Caption,NIL,DATASET,NIL,"Note that we also need `instances_<train | val>2014.json` for computing PMRP score.  ### CUB Caption  Download images (CUB-200-2011) from [this link](http://www.vision.caltech.edu/visipedia/CUB-200-2011.html), and download caption from [reedscot/cvpr2016](https://github.com/reedscot/cvpr2016)."
CUB-200-2011,cub-200-2011,DATASET,cub-200-2011,"Note that we also need `instances_<train | val>2014.json` for computing PMRP score.  ### CUB Caption  Download images (CUB-200-2011) from [this link](http://www.vision.caltech.edu/visipedia/CUB-200-2011.html), and download caption from [reedscot/cvpr2016](https://github.com/reedscot/cvpr2016)."
CUB-200-2011,cub-200-2011,DATASET,cub-200-2011,"Note that we also need `instances_<train | val>2014.json` for computing PMRP score.  ### CUB Caption  Download images (CUB-200-2011) from [this link](http://www.vision.caltech.edu/visipedia/CUB-200-2011.html), and download caption from [reedscot/cvpr2016](https://github.com/reedscot/cvpr2016)."
COCO Caption,coco captions,DATASET,coco captions,<br> We are planning to re-implement efficient PMRP as soon as possible.  ### COCO Caption  ``` # Compute recall metrics python evaluate_recall_coco.py .
coco,ms coco,DATASET,ms coco,<br> We are planning to re-implement efficient PMRP as soon as possible.  ### COCO Caption  ``` # Compute recall metrics python evaluate_recall_coco.py .
coco,ms coco,DATASET,ms coco,/config/coco/pcme_coco.yaml \     --dataset_root <your_dataset_path> \     --model_path model_last.pth \     # --model__cache_dir /vector_cache # if you use my docker image ```  ``` # Compute plausible match R-Precision (PMRP) metric python extract_rankings_coco.py .
coco,ms coco,DATASET,ms coco,/config/coco/pcme_coco.yaml \     --dataset_root <your_dataset_path> \     --model_path model_last.pth \     # --model__cache_dir /vector_cache # if you use my docker image ```  ``` # Compute plausible match R-Precision (PMRP) metric python extract_rankings_coco.py .
coco,ms coco,DATASET,ms coco,"/config/coco/pcme_coco.yaml \     --dataset_root <your_dataset_path> \     --model_path model_last.pth \     --dump_to <dumped_ranking_file> \     # --model__cache_dir /vector_cache # if you use my docker image  python evaluate_pmrp_coco.py --ranking_file <dumped_ranking_file> ```  | Method   | I2T 1K PMRP | I2T 1K R@1 | I2T ECCV mAP@R | T2I 1K PMRP | T2I 1K R@1 | T2I ECCV mAP@R | Model file | |----------|----------|---------|----------|----------|---------|----------|------------| | PCME     | 45.0     | 68.8    |   26.2   | 46.0     | 54.6    |   48.0   | [link](https://github.com/naver-ai/pcme/releases/download/v1.0.0/pcme_coco.pth) | | PCME (CutMix-pretrained) | 46.2 | 68.3 | 28.6 | 47.1 | 56.7 | 54.9 | [link](https://github.com/naver-ai/pcme/releases/download/v1.0.0/pcme_cutmix_coco.pth) | | PVSE K=1 | 40.3     | 66.7    |   23.4   | 41.8     | 53.5    |   44.6   | -          | | PVSE K=2 | 42.8     | 69.2    |   26.7   | 43.6     | 55.2    |   53.8   | -          | | VSRN     | 41.2     | 76.2    |   30.8   | 42.4     | 62.8    |   53.8   | -          | | VSRN + AOQ | 44.7   | 77.5    |   30.7   | 45.6     | 63.5    |   51.2   | -          |  Check [ECCV Caption dataset](https://github.com/naver-ai/eccv-caption) for more details of ""ECCV mAP@R"". - Paper: [ECCV Caption: Correcting False Negatives by Collecting Machine-and-Human-verified Image-Caption Associations for MS-COCO](https://arxiv.org/abs/2204.03359) - GitHub: [naver-ai/eccv-caption](https://github.com/naver-ai/eccv-caption)  ### CUB Caption  ``` python evaluate_cub.py ."
coco,ms coco,DATASET,ms coco,"/config/coco/pcme_coco.yaml \     --dataset_root <your_dataset_path> \     --model_path model_last.pth \     --dump_to <dumped_ranking_file> \     # --model__cache_dir /vector_cache # if you use my docker image  python evaluate_pmrp_coco.py --ranking_file <dumped_ranking_file> ```  | Method   | I2T 1K PMRP | I2T 1K R@1 | I2T ECCV mAP@R | T2I 1K PMRP | T2I 1K R@1 | T2I ECCV mAP@R | Model file | |----------|----------|---------|----------|----------|---------|----------|------------| | PCME     | 45.0     | 68.8    |   26.2   | 46.0     | 54.6    |   48.0   | [link](https://github.com/naver-ai/pcme/releases/download/v1.0.0/pcme_coco.pth) | | PCME (CutMix-pretrained) | 46.2 | 68.3 | 28.6 | 47.1 | 56.7 | 54.9 | [link](https://github.com/naver-ai/pcme/releases/download/v1.0.0/pcme_cutmix_coco.pth) | | PVSE K=1 | 40.3     | 66.7    |   23.4   | 41.8     | 53.5    |   44.6   | -          | | PVSE K=2 | 42.8     | 69.2    |   26.7   | 43.6     | 55.2    |   53.8   | -          | | VSRN     | 41.2     | 76.2    |   30.8   | 42.4     | 62.8    |   53.8   | -          | | VSRN + AOQ | 44.7   | 77.5    |   30.7   | 45.6     | 63.5    |   51.2   | -          |  Check [ECCV Caption dataset](https://github.com/naver-ai/eccv-caption) for more details of ""ECCV mAP@R"". - Paper: [ECCV Caption: Correcting False Negatives by Collecting Machine-and-Human-verified Image-Caption Associations for MS-COCO](https://arxiv.org/abs/2204.03359) - GitHub: [naver-ai/eccv-caption](https://github.com/naver-ai/eccv-caption)  ### CUB Caption  ``` python evaluate_cub.py ."
coco,ms coco,DATASET,ms coco,"/config/coco/pcme_coco.yaml \     --dataset_root <your_dataset_path> \     --model_path model_last.pth \     --dump_to <dumped_ranking_file> \     # --model__cache_dir /vector_cache # if you use my docker image  python evaluate_pmrp_coco.py --ranking_file <dumped_ranking_file> ```  | Method   | I2T 1K PMRP | I2T 1K R@1 | I2T ECCV mAP@R | T2I 1K PMRP | T2I 1K R@1 | T2I ECCV mAP@R | Model file | |----------|----------|---------|----------|----------|---------|----------|------------| | PCME     | 45.0     | 68.8    |   26.2   | 46.0     | 54.6    |   48.0   | [link](https://github.com/naver-ai/pcme/releases/download/v1.0.0/pcme_coco.pth) | | PCME (CutMix-pretrained) | 46.2 | 68.3 | 28.6 | 47.1 | 56.7 | 54.9 | [link](https://github.com/naver-ai/pcme/releases/download/v1.0.0/pcme_cutmix_coco.pth) | | PVSE K=1 | 40.3     | 66.7    |   23.4   | 41.8     | 53.5    |   44.6   | -          | | PVSE K=2 | 42.8     | 69.2    |   26.7   | 43.6     | 55.2    |   53.8   | -          | | VSRN     | 41.2     | 76.2    |   30.8   | 42.4     | 62.8    |   53.8   | -          | | VSRN + AOQ | 44.7   | 77.5    |   30.7   | 45.6     | 63.5    |   51.2   | -          |  Check [ECCV Caption dataset](https://github.com/naver-ai/eccv-caption) for more details of ""ECCV mAP@R"". - Paper: [ECCV Caption: Correcting False Negatives by Collecting Machine-and-Human-verified Image-Caption Associations for MS-COCO](https://arxiv.org/abs/2204.03359) - GitHub: [naver-ai/eccv-caption](https://github.com/naver-ai/eccv-caption)  ### CUB Caption  ``` python evaluate_cub.py ."
coco,ms coco,DATASET,ms coco,"/config/coco/pcme_coco.yaml \     --dataset_root <your_dataset_path> \     --model_path model_last.pth \     --dump_to <dumped_ranking_file> \     # --model__cache_dir /vector_cache # if you use my docker image  python evaluate_pmrp_coco.py --ranking_file <dumped_ranking_file> ```  | Method   | I2T 1K PMRP | I2T 1K R@1 | I2T ECCV mAP@R | T2I 1K PMRP | T2I 1K R@1 | T2I ECCV mAP@R | Model file | |----------|----------|---------|----------|----------|---------|----------|------------| | PCME     | 45.0     | 68.8    |   26.2   | 46.0     | 54.6    |   48.0   | [link](https://github.com/naver-ai/pcme/releases/download/v1.0.0/pcme_coco.pth) | | PCME (CutMix-pretrained) | 46.2 | 68.3 | 28.6 | 47.1 | 56.7 | 54.9 | [link](https://github.com/naver-ai/pcme/releases/download/v1.0.0/pcme_cutmix_coco.pth) | | PVSE K=1 | 40.3     | 66.7    |   23.4   | 41.8     | 53.5    |   44.6   | -          | | PVSE K=2 | 42.8     | 69.2    |   26.7   | 43.6     | 55.2    |   53.8   | -          | | VSRN     | 41.2     | 76.2    |   30.8   | 42.4     | 62.8    |   53.8   | -          | | VSRN + AOQ | 44.7   | 77.5    |   30.7   | 45.6     | 63.5    |   51.2   | -          |  Check [ECCV Caption dataset](https://github.com/naver-ai/eccv-caption) for more details of ""ECCV mAP@R"". - Paper: [ECCV Caption: Correcting False Negatives by Collecting Machine-and-Human-verified Image-Caption Associations for MS-COCO](https://arxiv.org/abs/2204.03359) - GitHub: [naver-ai/eccv-caption](https://github.com/naver-ai/eccv-caption)  ### CUB Caption  ``` python evaluate_cub.py ."
ECCV Caption,NIL,DATASET,NIL,"/config/coco/pcme_coco.yaml \     --dataset_root <your_dataset_path> \     --model_path model_last.pth \     --dump_to <dumped_ranking_file> \     # --model__cache_dir /vector_cache # if you use my docker image  python evaluate_pmrp_coco.py --ranking_file <dumped_ranking_file> ```  | Method   | I2T 1K PMRP | I2T 1K R@1 | I2T ECCV mAP@R | T2I 1K PMRP | T2I 1K R@1 | T2I ECCV mAP@R | Model file | |----------|----------|---------|----------|----------|---------|----------|------------| | PCME     | 45.0     | 68.8    |   26.2   | 46.0     | 54.6    |   48.0   | [link](https://github.com/naver-ai/pcme/releases/download/v1.0.0/pcme_coco.pth) | | PCME (CutMix-pretrained) | 46.2 | 68.3 | 28.6 | 47.1 | 56.7 | 54.9 | [link](https://github.com/naver-ai/pcme/releases/download/v1.0.0/pcme_cutmix_coco.pth) | | PVSE K=1 | 40.3     | 66.7    |   23.4   | 41.8     | 53.5    |   44.6   | -          | | PVSE K=2 | 42.8     | 69.2    |   26.7   | 43.6     | 55.2    |   53.8   | -          | | VSRN     | 41.2     | 76.2    |   30.8   | 42.4     | 62.8    |   53.8   | -          | | VSRN + AOQ | 44.7   | 77.5    |   30.7   | 45.6     | 63.5    |   51.2   | -          |  Check [ECCV Caption dataset](https://github.com/naver-ai/eccv-caption) for more details of ""ECCV mAP@R"". - Paper: [ECCV Caption: Correcting False Negatives by Collecting Machine-and-Human-verified Image-Caption Associations for MS-COCO](https://arxiv.org/abs/2204.03359) - GitHub: [naver-ai/eccv-caption](https://github.com/naver-ai/eccv-caption)  ### CUB Caption  ``` python evaluate_cub.py ."
eccv-caption,NIL,DATASET,NIL,"/config/coco/pcme_coco.yaml \     --dataset_root <your_dataset_path> \     --model_path model_last.pth \     --dump_to <dumped_ranking_file> \     # --model__cache_dir /vector_cache # if you use my docker image  python evaluate_pmrp_coco.py --ranking_file <dumped_ranking_file> ```  | Method   | I2T 1K PMRP | I2T 1K R@1 | I2T ECCV mAP@R | T2I 1K PMRP | T2I 1K R@1 | T2I ECCV mAP@R | Model file | |----------|----------|---------|----------|----------|---------|----------|------------| | PCME     | 45.0     | 68.8    |   26.2   | 46.0     | 54.6    |   48.0   | [link](https://github.com/naver-ai/pcme/releases/download/v1.0.0/pcme_coco.pth) | | PCME (CutMix-pretrained) | 46.2 | 68.3 | 28.6 | 47.1 | 56.7 | 54.9 | [link](https://github.com/naver-ai/pcme/releases/download/v1.0.0/pcme_cutmix_coco.pth) | | PVSE K=1 | 40.3     | 66.7    |   23.4   | 41.8     | 53.5    |   44.6   | -          | | PVSE K=2 | 42.8     | 69.2    |   26.7   | 43.6     | 55.2    |   53.8   | -          | | VSRN     | 41.2     | 76.2    |   30.8   | 42.4     | 62.8    |   53.8   | -          | | VSRN + AOQ | 44.7   | 77.5    |   30.7   | 45.6     | 63.5    |   51.2   | -          |  Check [ECCV Caption dataset](https://github.com/naver-ai/eccv-caption) for more details of ""ECCV mAP@R"". - Paper: [ECCV Caption: Correcting False Negatives by Collecting Machine-and-Human-verified Image-Caption Associations for MS-COCO](https://arxiv.org/abs/2204.03359) - GitHub: [naver-ai/eccv-caption](https://github.com/naver-ai/eccv-caption)  ### CUB Caption  ``` python evaluate_cub.py ."
ECCV Caption,NIL,DATASET,NIL,"/config/coco/pcme_coco.yaml \     --dataset_root <your_dataset_path> \     --model_path model_last.pth \     --dump_to <dumped_ranking_file> \     # --model__cache_dir /vector_cache # if you use my docker image  python evaluate_pmrp_coco.py --ranking_file <dumped_ranking_file> ```  | Method   | I2T 1K PMRP | I2T 1K R@1 | I2T ECCV mAP@R | T2I 1K PMRP | T2I 1K R@1 | T2I ECCV mAP@R | Model file | |----------|----------|---------|----------|----------|---------|----------|------------| | PCME     | 45.0     | 68.8    |   26.2   | 46.0     | 54.6    |   48.0   | [link](https://github.com/naver-ai/pcme/releases/download/v1.0.0/pcme_coco.pth) | | PCME (CutMix-pretrained) | 46.2 | 68.3 | 28.6 | 47.1 | 56.7 | 54.9 | [link](https://github.com/naver-ai/pcme/releases/download/v1.0.0/pcme_cutmix_coco.pth) | | PVSE K=1 | 40.3     | 66.7    |   23.4   | 41.8     | 53.5    |   44.6   | -          | | PVSE K=2 | 42.8     | 69.2    |   26.7   | 43.6     | 55.2    |   53.8   | -          | | VSRN     | 41.2     | 76.2    |   30.8   | 42.4     | 62.8    |   53.8   | -          | | VSRN + AOQ | 44.7   | 77.5    |   30.7   | 45.6     | 63.5    |   51.2   | -          |  Check [ECCV Caption dataset](https://github.com/naver-ai/eccv-caption) for more details of ""ECCV mAP@R"". - Paper: [ECCV Caption: Correcting False Negatives by Collecting Machine-and-Human-verified Image-Caption Associations for MS-COCO](https://arxiv.org/abs/2204.03359) - GitHub: [naver-ai/eccv-caption](https://github.com/naver-ai/eccv-caption)  ### CUB Caption  ``` python evaluate_cub.py ."
eccv-caption,NIL,DATASET,NIL,"/config/coco/pcme_coco.yaml \     --dataset_root <your_dataset_path> \     --model_path model_last.pth \     --dump_to <dumped_ranking_file> \     # --model__cache_dir /vector_cache # if you use my docker image  python evaluate_pmrp_coco.py --ranking_file <dumped_ranking_file> ```  | Method   | I2T 1K PMRP | I2T 1K R@1 | I2T ECCV mAP@R | T2I 1K PMRP | T2I 1K R@1 | T2I ECCV mAP@R | Model file | |----------|----------|---------|----------|----------|---------|----------|------------| | PCME     | 45.0     | 68.8    |   26.2   | 46.0     | 54.6    |   48.0   | [link](https://github.com/naver-ai/pcme/releases/download/v1.0.0/pcme_coco.pth) | | PCME (CutMix-pretrained) | 46.2 | 68.3 | 28.6 | 47.1 | 56.7 | 54.9 | [link](https://github.com/naver-ai/pcme/releases/download/v1.0.0/pcme_cutmix_coco.pth) | | PVSE K=1 | 40.3     | 66.7    |   23.4   | 41.8     | 53.5    |   44.6   | -          | | PVSE K=2 | 42.8     | 69.2    |   26.7   | 43.6     | 55.2    |   53.8   | -          | | VSRN     | 41.2     | 76.2    |   30.8   | 42.4     | 62.8    |   53.8   | -          | | VSRN + AOQ | 44.7   | 77.5    |   30.7   | 45.6     | 63.5    |   51.2   | -          |  Check [ECCV Caption dataset](https://github.com/naver-ai/eccv-caption) for more details of ""ECCV mAP@R"". - Paper: [ECCV Caption: Correcting False Negatives by Collecting Machine-and-Human-verified Image-Caption Associations for MS-COCO](https://arxiv.org/abs/2204.03359) - GitHub: [naver-ai/eccv-caption](https://github.com/naver-ai/eccv-caption)  ### CUB Caption  ``` python evaluate_cub.py ."
