#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[57]|*[403]	ONTOLOGY[57]|DATASET[57]|EVALMETRIC[57]|SOFTWARE[57]|PUBLICATION[57]|WORKSHOP[57]|PROGLANG[57]|LICENSE[57]|PROJECT[57]|CONFERENCE[403]
31-44	4800-4801	a	*[394]	PROJECT[394]|PUBLICATION[394]|ONTOLOGY[394]|DATASET[394]|EVALMETRIC[394]|SOFTWARE[394]|CONFERENCE[394]|WORKSHOP[394]|PROGLANG[394]|LICENSE[394]
31-45	4802-4803	`	*[394]	PROJECT[394]|PUBLICATION[394]|ONTOLOGY[394]|DATASET[394]|EVALMETRIC[394]|SOFTWARE[394]|CONFERENCE[394]|WORKSHOP[394]|PROGLANG[394]|LICENSE[394]
31-46	4803-4807	lmdb	*[394]	PROJECT[394]|PUBLICATION[394]|ONTOLOGY[394]|DATASET[394]|EVALMETRIC[394]|SOFTWARE[394]|CONFERENCE[394]|WORKSHOP[394]|PROGLANG[394]|LICENSE[394]
31-47	4807-4808	`	*[394]	PROJECT[394]|PUBLICATION[394]|ONTOLOGY[394]|DATASET[394]|EVALMETRIC[394]|SOFTWARE[394]|CONFERENCE[394]|WORKSHOP[394]|PROGLANG[394]|LICENSE[394]
31-48	4809-4817	database	*[394]	PROJECT[394]|PUBLICATION[394]|ONTOLOGY[394]|DATASET[394]|EVALMETRIC[394]|SOFTWARE[394]|CONFERENCE[394]|WORKSHOP[394]|PROGLANG[394]|LICENSE[394]
31-49	4818-4821	for	*[394]	PROJECT[394]|PUBLICATION[394]|ONTOLOGY[394]|DATASET[394]|EVALMETRIC[394]|SOFTWARE[394]|CONFERENCE[394]|WORKSHOP[394]|PROGLANG[394]|LICENSE[394]
31-50	4822-4826	each	*[394]	PROJECT[394]|PUBLICATION[394]|ONTOLOGY[394]|DATASET[394]|EVALMETRIC[394]|SOFTWARE[394]|CONFERENCE[394]|WORKSHOP[394]|PROGLANG[394]|LICENSE[394]
31-51	4827-4834	dataset	*[394]	PROJECT[394]|PUBLICATION[394]|ONTOLOGY[394]|DATASET[394]|EVALMETRIC[394]|SOFTWARE[394]|CONFERENCE[394]|WORKSHOP[394]|PROGLANG[394]|LICENSE[394]
31-52	4834-4835	.	*[394]	PROJECT[394]|PUBLICATION[394]|ONTOLOGY[394]|DATASET[394]|EVALMETRIC[394]|SOFTWARE[394]|CONFERENCE[394]|WORKSHOP[394]|PROGLANG[394]|LICENSE[394]

#Text=The `lmdb` and avoids processing all the data again if you want to create a graph with different parameters.  ``` python process\_dataset.py --input\_path data/scpdb/scpdb\_subset\_puresnet/raw --output\_path data/scpdb/scpdb\_subset\_puresnet/raw --device cuda:0 --n\_jobs 8 python process\_dataset.py --input\_path data/bindingsite\_test\_data/coach420/raw --output\_path data/bindingsite\_test\_data/coach420/raw --device cuda:0 --n\_jobs 8 python process\_dataset.py --input\_path data/bindingsite\_test\_data/holo4k/raw --output\_path data/bindingsite\_test\_data/holo4k/raw --device cuda:0 --n\_jobs 8 python process\_dataset.py --input\_path data/bindingsite\_test\_data/holo4k\_split\_chain/raw --output\_path data/bindingsite\_test\_data/holo4k\_split\_chain/raw --device cuda:0 --n\_jobs 8 python process\_dataset.py --input\_path data/bindingsite\_test\_data/pdbbind2020/raw --output\_path data/bindingsite\_test\_data/pdbbind2020/raw --device cuda:0 --n\_jobs 8 ```  ### Train  Train the \*heterogenous\* or \*homogenous\* model with the parameters as used in the paper.
32-1	4836-4839	The	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-2	4840-4841	`	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-3	4841-4845	lmdb	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-4	4845-4846	`	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-5	4847-4850	and	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-6	4851-4857	avoids	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-7	4858-4868	processing	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-8	4869-4872	all	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-9	4873-4876	the	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-10	4877-4881	data	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-11	4882-4887	again	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-12	4888-4890	if	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-13	4891-4894	you	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-14	4895-4899	want	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-15	4900-4902	to	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-16	4903-4909	create	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-17	4910-4911	a	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-18	4912-4917	graph	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-19	4918-4922	with	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-20	4923-4932	different	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-21	4933-4943	parameters	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-22	4943-4944	.	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-23	4946-4947	`	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-24	4947-4948	`	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-25	4948-4949	`	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-26	4950-4956	python	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-27	4957-4975	process\_dataset.py	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-28	4976-4977	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-29	4977-4978	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-30	4978-4988	input\_path	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-31	4989-4993	data	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-32	4993-4994	/	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-33	4994-4999	scpdb	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-34	4999-5000	/	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-35	5000-5021	scpdb\_subset\_puresnet	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-35	5000-5005	scpdb	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-36	5021-5022	/	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-37	5022-5025	raw	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-38	5026-5027	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-39	5027-5028	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-40	5028-5039	output\_path	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-41	5040-5044	data	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-42	5044-5045	/	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-43	5045-5050	scpdb	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-44	5050-5051	/	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-45	5051-5072	scpdb\_subset\_puresnet	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-45	5051-5056	scpdb	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-46	5072-5073	/	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-47	5073-5076	raw	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-48	5077-5078	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-49	5078-5079	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-50	5079-5085	device	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-51	5086-5090	cuda	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-52	5090-5091	:	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-53	5091-5092	0	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-54	5093-5094	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-55	5094-5095	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-56	5095-5101	n\_jobs	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-57	5102-5103	8	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-58	5104-5110	python	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-59	5111-5129	process\_dataset.py	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-60	5130-5131	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-61	5131-5132	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-62	5132-5142	input\_path	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-63	5143-5147	data	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-64	5147-5148	/	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-65	5148-5169	bindingsite\_test\_data	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-66	5169-5170	/	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-67	5170-5178	coach420	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-68	5178-5179	/	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-69	5179-5182	raw	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-70	5183-5184	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-71	5184-5185	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-72	5185-5196	output\_path	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-73	5197-5201	data	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-74	5201-5202	/	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-75	5202-5223	bindingsite\_test\_data	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-76	5223-5224	/	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-77	5224-5232	coach420	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-78	5232-5233	/	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-79	5233-5236	raw	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-80	5237-5238	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-81	5238-5239	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-82	5239-5245	device	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-83	5246-5250	cuda	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-84	5250-5251	:	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-85	5251-5252	0	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-86	5253-5254	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-87	5254-5255	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-88	5255-5261	n\_jobs	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-89	5262-5263	8	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-90	5264-5270	python	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-91	5271-5289	process\_dataset.py	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-92	5290-5291	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-93	5291-5292	-	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-94	5292-5302	input\_path	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-95	5303-5307	data	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-96	5307-5308	/	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
32-97	5308-5329	bindingsite\_test\_data	*[395]	EVALMETRIC[395]|CONFERENCE[395]|PROGLANG[395]|ONTOLOGY[395]|WORKSHOP[395]|PROJECT[395]|LICENSE[395]|DATASET[395]|SOFTWARE[395]|PUBLICATION[395]
