#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[57]|*[72]	DATASET[57]|ONTOLOGY[57]|EVALMETRIC[57]|SOFTWARE[57]|PUBLICATION[57]|PROJECT[57]|WORKSHOP[57]|PROGLANG[57]|LICENSE[57]|CONFERENCE[72]
4-43	750-751	\;	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-44	753-754	#	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-45	754-755	#	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-46	756-759	1.2	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-47	761-767	Follow	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-48	768-771	the	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-49	772-780	comments	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-50	781-783	in	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-51	784-785	"	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-52	785-803	data\_preparation.m	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-53	803-804	"	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-54	805-807	to	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-55	808-814	modify	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-56	815-818	the	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-57	819-823	file	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-58	824-829	names	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-59	830-835	based	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-60	836-838	on	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-61	839-842	the	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-62	843-853	downloaded	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-63	854-858	data	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-64	859-864	files	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-65	864-865	\;	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-66	867-868	#	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-67	868-869	#	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-68	870-873	1.3	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-69	875-881	Follow	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-70	882-885	the	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-71	886-894	comments	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-72	895-897	in	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-73	898-899	"	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-74	899-917	data\_preparation.m	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-75	917-918	"	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-76	919-921	to	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-77	922-925	set	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-78	926-929	the	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-79	930-936	number	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-80	937-939	of	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-81	940-945	cells	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-82	946-947	(	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-83	947-955	randomly	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-84	956-964	selected	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-85	964-965	)	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-86	966-969	and	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-87	970-973	top	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-88	974-982	variable	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-89	983-988	genes	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-90	988-989	\;	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-91	991-992	#	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-92	992-993	#	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-93	994-997	1.4	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-94	999-1002	Run	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-95	1003-1004	"	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-96	1004-1022	data\_preparation.m	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-97	1022-1023	"	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-98	1023-1024	\;	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-99	1029-1030	#	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-100	1031-1032	2	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-101	1032-1033	.	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]

#Text=Usage (two options):  ## Option 1: Run Source Code   Enter the "Para\_DPMM\_Source\_Code" Directory  We tested the code with Matlab2015a and gcc/4.8.4 (gcc/4.6.X and gcc/4.7.X should also work), the installation of following two libraries is needed:  1) GNU Scientific Library: http://www.gnu.org/software/gsl/ 2) Eigen library: http://eigen.tuxfamily.org/   Steps:  (1) Install the packages mentioned above (for the Eigen library, you only need to place the unzipped files inside the "eigen" directory)\;  (2) Start Matlab, enter the "main" sub directory in Matlab\;  (3) In Matlab, run compile\_MEX.m\;  (4) Run Para\_DPMM.m, follow the guidelines given in the program (an example):       1> Please enter dataset path:  data\_matrix\_1\_S\_Set.mat            2> Please enter number of processors:  16            3> Please set the value of alpha:  1            4> Please enter computing time limit (seconds):  20  (5) Result: The training iteration and computation time log is saved in Para\_DPMM\_output.txt, the clustering result is saved in Para\_DPMM\_result.mat, where z is the clustering result of Para\_DPMM model, label is the ground truth cluster label, AR is Adjusted Random Index, RI is Random Index benchmark, MI is "Mirkin's" index and HI is "Hubert's" index.     ## Option 2: Run Compiled Package  The execution of compiled package is tested on HPC clusters with module gcc/6.1.0, gsl/2.3 and MATLAB/r2017b loaded\;   Steps:  ### (1) On HPC command line:        1> module load gcc/6.1.0        2> module load gsl/2.3        3> module load MATLAB/r2017b        4> .
5-1	1034-1039	Usage	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-2	1040-1041	(	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-3	1041-1044	two	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-4	1045-1052	options	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-5	1052-1053	)	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-6	1053-1054	:	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-7	1056-1057	#	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-8	1057-1058	#	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-9	1059-1065	Option	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-10	1066-1067	1	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-11	1067-1068	:	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-12	1069-1072	Run	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-13	1073-1079	Source	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-14	1080-1084	Code	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-15	1087-1092	Enter	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-16	1093-1096	the	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-17	1097-1098	"	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-18	1098-1119	Para\_DPMM\_Source\_Code	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-19	1119-1120	"	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-20	1121-1130	Directory	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-21	1132-1134	We	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-22	1135-1141	tested	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-23	1142-1145	the	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-24	1146-1150	code	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-25	1151-1155	with	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-26	1156-1167	Matlab2015a	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-27	1168-1171	and	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-28	1172-1175	gcc	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-29	1175-1176	/	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-30	1176-1181	4.8.4	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-31	1182-1183	(	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-32	1183-1186	gcc	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-33	1186-1187	/	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-34	1187-1190	4.6	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-35	1190-1191	.	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-36	1191-1192	X	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-37	1193-1196	and	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-38	1197-1200	gcc	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-39	1200-1201	/	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-40	1201-1204	4.7	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-41	1204-1205	.	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-42	1205-1206	X	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-43	1207-1213	should	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-44	1214-1218	also	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-45	1219-1223	work	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-46	1223-1224	)	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-47	1224-1225	,	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-48	1226-1229	the	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-49	1230-1242	installation	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
